backend,batch,region,chunked_batch,prep_seconds,prep_nbytes,panel_count,compile_s,value_median_s,value_p95_s,valgrad_median_s,valgrad_p95_s,valgrad_weighted_median_s
quad_h20_q16,128,Lower North,128.0,0.001072099999873899,69120.0,1728.0,1.434507100006158,0.13558259999990696,0.15041361000112374,0.5179900000002817,0.6849077199956807,0.31640669999615056
quad_h20_q16,512,Lower North,256.0,0.000672199996188283,69120.0,1728.0,0.6055822000053013,,,0.6622830999986036,0.9766010500010451,0.9120318999994197
quad_h20_q16,2048,Lower North,256.0,0.001174400000309106,69120.0,1728.0,3.7282094999973197,,,3.675693700002739,4.565655220000917,3.502235700005258
quad_h20_q16,8192,Lower North,256.0,0.0013725000026170164,69120.0,1728.0,13.962186300006579,,,13.79511790000106,14.022802500004763,13.771106500003953
quad_h20_q16,16479,Lower North,256.0,0.0018964999981108122,69120.0,1728.0,28.451992000002065,,,28.49809500000265,29.262112040001377,28.367570599999453
table_K40,128,Lower North,,,82240.0,,0.6504838000037125,6.915000267326832e-05,0.00011617999625741504,0.00010150000161956996,0.00018028000085905637,
table_K40,512,Lower North,,,328000.0,,0.6132036999988486,6.550000034621917e-05,0.0001424949990905588,9.115000284509733e-05,0.00010586500175122638,
table_K40,2048,Lower North,,,1311040.0,,0.5506582000016351,9.760000102687627e-05,0.00012853499902121252,0.00016804999904707074,0.00031069500219018634,
table_K40,8192,Lower North,,,5243200.0,,0.5500197000001208,0.000270349995844299,0.0004354199987574244,0.0005625500016321894,0.0008753899972361976,
table_K40,16479,Lower North,,,10546880.0,,0.8250998000003165,0.0005387000019254629,0.0007622450040798866,0.0013103999990562443,0.0018701699955272488,
rect_baseline,128,Lower North,,,,,,,,9.689999933470972e-05,0.0001697600004263222,
rect_baseline,512,Lower North,,,,,,,,0.00013979999857838266,0.00027609500029939193,
rect_baseline,2048,Lower North,,,,,,,,0.0008093500000541098,0.0012631299967324591,
rect_baseline,8192,Lower North,,,,,,,,0.0038173000029928517,0.004910609999933512,
rect_baseline,16479,Lower North,,,,,,,,0.007131399997888366,0.007922504999805824,
