backend,region,ws,max_abs_err,median_abs_err,max_rel_err_safe,signed_aggregate_err,aggregate_abs_err_max_sigma,sum_mass_rel_err_max_sigma,value_pass,worst_sigma,n_nan,prep_seconds,prep_nbytes,max_deriv_abs_err,deriv_floor_max,deriv_pass,panel_count,n_nonmonotone_rows,bound_violations,npz_bytes,npz_sha256,fast_path_events
quad_h10_q8,Lower South,none,2.1381230119743577e-11,1.3655743202889425e-14,3.99477377099442e-11,9.047518290117296e-11,1.5654211260596185e-10,7.969170633701129e-13,True,10.0,0,0.0011995000022579916,107560,5.4293032888952375e-08,5.429310704722449e-08,True,2689.0,,,,,
quad_h10_q8,North Delaware,none,6.805778163254672e-12,1.304512053934559e-14,1.013347521641658e-11,1.1269024602356126e-10,1.984102326879622e-10,1.2195842919918464e-12,True,11.044061634339652,0,0.004076699995493982,103640,5.458572638339376e-08,5.458552128819368e-08,True,2591.0,,,,,
quad_h10_q8,Central,none,9.806933043421395e-12,9.2148511043888e-15,2.5149899014105774e-11,-7.126760293019174e-11,2.9621549657576907e-10,7.374055107310758e-13,True,11.865945205886305,0,0.0013658999960171059,110640,5.2099782321679555e-08,5.2099731936057957e-08,True,2766.0,,,,,
quad_h10_q8,East Fairmount Park,none,6.821987419414199e-12,3.064215547965432e-14,2.1797235270389812e-11,1.1161072066556699e-11,4.427280764218722e-11,1.1409068629944767e-13,True,10.630000037921143,0,0.012194499999168329,142600,1.317750988882871e-07,1.3177492430571647e-07,True,3565.0,,,,,
quad_h10_q8,Mifflin Square,none,2.169375790117556e-13,1.587618925213974e-14,8.480490117990747e-13,1.0171641307010759e-11,1.0171641307010759e-11,8.470432506220179e-13,True,56.13790136144116,0,0.001512999995611608,3120,1.2100871371600874e-07,1.2100857353184816e-07,True,78.0,,,,,
quad_h20_q8,Lower South,none,1.678235328483879e-11,2.3425705819590803e-14,3.1355401135657423e-11,-1.073391375783217e-10,2.375527552445078e-10,9.433301354415357e-13,True,10.0,0,0.0007496000034734607,56360,5.429302943338321e-08,5.429310704722449e-08,True,1409.0,,,,,
quad_h20_q8,North Delaware,none,1.1940670674448484e-11,1.8818280267396403e-14,2.284706045146755e-11,-8.329320566602405e-11,1.849635444806097e-10,8.846479400010629e-13,True,10.0,0,0.0016011999978218228,56400,5.4585722830680083e-08,5.458552128819368e-08,True,1410.0,,,,,
quad_h20_q8,Central,none,1.0611067580157396e-11,1.509903313490213e-14,2.031523477682954e-11,-9.991807381481976e-11,3.415341343071532e-10,1.0338517815009703e-12,True,11.865945205886305,0,0.00349399999686284,75160,5.209978742870547e-08,5.2099731936057957e-08,True,1879.0,,,,,
quad_h20_q8,East Fairmount Park,none,3.511857471494295e-12,2.3092638912203256e-14,7.090743825082134e-12,2.5817792348448165e-11,5.4753757083858545e-11,2.541557704391497e-13,True,10.0,0,0.008848299999954179,101920,1.3177509913808727e-07,1.3177492430571647e-07,True,2548.0,,,,,
quad_h20_q8,Mifflin Square,none,8.990586053414518e-13,2.1094237467877974e-14,8.990586055165427e-13,-4.222910909845723e-11,4.222910909845723e-11,8.984916831211579e-13,True,10.0,0,0.001505100000940729,2160,1.210087074987598e-07,1.2100857353184816e-07,True,54.0,,,,,
