backend,region,ws,max_abs_err,median_abs_err,max_rel_err_safe,signed_aggregate_err,aggregate_abs_err_max_sigma,sum_mass_rel_err_max_sigma,value_pass,worst_sigma,n_nan,prep_seconds,prep_nbytes,max_deriv_abs_err,deriv_floor_max,deriv_pass,bound_violations,build_s_per_event,slope_source
table_quadbuilt_K40,Lower South,none,1.4852002061527259e-06,9.3320493554927e-09,2.5043545159954555e-06,1.3357102940592114e-05,4.117761439234591e-05,1.3762408403163454e-07,True,25.748603538794267,0,6.175138999999035,82240,2.3150541595740037e-05,5.429310704722449e-08,True,16,0.04824327343749246,quad jacfwd (AD)
table_quadbuilt_K64,Lower South,none,2.191564654197009e-07,1.6817587877859808e-09,3.6392850383502316e-07,2.0876382995360654e-06,6.4247126934091625e-06,2.1488242735118502e-08,True,27.83604811489829,0,10.82395070000348,131584,7.222871436257661e-06,5.429310704722449e-08,True,0,0.08456211484377718,quad jacfwd (AD)
table_quadbuilt_K40,North Delaware,none,1.6587291798986215e-06,4.703526568228256e-09,2.521548397908667e-06,-1.2368932215289785e-05,5.401909373869973e-05,1.5548076464867385e-07,True,470.3664141263562,0,7.399356099995202,82240,3.228285213860427e-05,5.458552128819368e-08,True,12,0.05780746953121252,quad jacfwd (AD)
table_quadbuilt_K64,North Delaware,none,2.4185310587565567e-07,4.731853797679264e-10,3.8977066218844614e-07,-1.9397740906867966e-06,8.648540782307812e-06,2.38893926154794e-08,True,456.4399055840272,0,10.571332400002575,131584,8.119617476348706e-06,5.458552128819368e-08,True,0,0.08258853437502012,quad jacfwd (AD)
table_quadbuilt_K40,Central,none,1.5003419153725162e-06,1.8352432351598225e-09,1.8884467970339017e-06,-1.254998780925165e-05,5.044238044471516e-05,1.518267499359382e-07,True,470.3664141263562,0,7.249240500001179,82240,3.122441530664655e-05,5.2099731936057957e-08,True,10,0.05663469140625921,quad jacfwd (AD)
table_quadbuilt_K64,Central,none,2.414468686096072e-07,3.6991582019751945e-10,2.981595760916114e-07,-1.673655326939194e-06,8.121304414576702e-06,2.0403403458943226e-08,True,456.4399055840272,0,10.640121599994018,131584,7.72542865981607e-06,5.2099731936057957e-08,True,0,0.08312594999995326,quad jacfwd (AD)
table_quadbuilt_K40,East Fairmount Park,none,3.0021332899643483e-06,1.1552893797173169e-07,5.855103078191546e-06,-2.4732979875388694e-05,5.619069483321637e-05,7.969854927229317e-07,True,316.22776601683796,0,7.608130500004336,70720,6.996184782140369e-05,1.3177492430571647e-07,True,4,0.06916482272731214,quad jacfwd (AD)
table_quadbuilt_K64,East Fairmount Park,none,4.5780292323716054e-07,1.8524212053172562e-08,8.810412250347046e-07,-4.2511260418751085e-06,9.201232444099039e-06,1.0801487891605496e-07,True,293.4258515772351,0,11.564881799997238,113152,1.560811543520335e-05,1.3177492430571647e-07,True,0,0.10513528909088399,quad jacfwd (AD)
table_quadbuilt_K40,Mifflin Square,none,3.912330996058699e-06,5.513717349359126e-08,4.245668773452254e-06,-0.00018387306685285765,0.00018387306685285765,4.245529205838326e-06,True,31.622776601683793,0,0.8990884000013466,30400,4.543676301951502e-05,1.2100857353184816e-07,True,0,0.019129540425560566,quad jacfwd (AD)
table_quadbuilt_K64,Mifflin Square,none,5.709409850451763e-07,7.612332458828419e-09,6.195862042685936e-07,-2.6833275416637825e-05,2.6833275416637825e-05,6.195657494569546e-07,True,31.622776601683793,0,0.1328051999953459,48640,1.4040518540214125e-05,1.2100857353184816e-07,True,0,0.002825642553092466,quad jacfwd (AD)
